"n","error","cell","rep","method","fdr","tpr","fpr05","n_rej"
20,"gauss","null",6,"modhc3",0,NA,0.032,0
20,"gauss","null",7,"ols",0,NA,0.038,0
20,"gauss","null",7,"modt",0,NA,0.038,0
20,"gauss","null",7,"hc3",0,NA,0.038,0
20,"gauss","null",7,"modhc3",0,NA,0.036,0
20,"gauss","null",8,"ols",0,NA,0.06,0
20,"gauss","null",8,"modt",0,NA,0.052,0
20,"gauss","null",8,"hc3",0,NA,0.052,0
20,"gauss","null",8,"modhc3",0,NA,0.058,0
20,"gauss","null",9,"ols",0,NA,0.048,0
20,"gauss","null",9,"modt",0,NA,0.044,0
20,"gauss","null",9,"hc3",0,NA,0.046,0
20,"gauss","null",9,"modhc3",0,NA,0.036,0
20,"gauss","null",10,"ols",0,NA,0.07,0
20,"gauss","null",10,"modt",0,NA,0.072,0
20,"gauss","null",10,"hc3",0,NA,0.052,0
20,"gauss","null",10,"modhc3",0,NA,0.052,0
20,"gauss","null",11,"ols",0,NA,0.054,0
20,"gauss","null",11,"modt",0,NA,0.058,0
20,"gauss","null",11,"hc3",0,NA,0.04,0
20,"gauss","null",11,"modhc3",0,NA,0.04,0
20,"gauss","null",12,"ols",0,NA,0.046,0
20,"gauss","null",12,"modt",0,NA,0.036,0
20,"gauss","null",12,"hc3",0,NA,0.028,0
20,"gauss","null",12,"modhc3",0,NA,0.026,0
20,"gauss","null",13,"ols",0,NA,0.044,0
20,"gauss","null",13,"modt",0,NA,0.046,0
20,"gauss","null",13,"hc3",0,NA,0.038,0
20,"gauss","null",13,"modhc3",0,NA,0.04,0
20,"gauss","null",14,"ols",0,NA,0.052,0
20,"gauss","null",14,"modt",0,NA,0.054,0
20,"gauss","null",14,"hc3",0,NA,0.046,0
20,"gauss","null",14,"modhc3",1,NA,0.046,1
20,"gauss","null",15,"ols",0,NA,0.058,0
20,"gauss","null",15,"modt",0,NA,0.056,0
20,"gauss","null",15,"hc3",0,NA,0.044,0
20,"gauss","null",15,"modhc3",0,NA,0.04,0
20,"gauss","null",16,"ols",0,NA,0.056,0
20,"gauss","null",16,"modt",1,NA,0.06,1
20,"gauss","null",16,"hc3",0,NA,0.044,0
