"regime_id","method","arm","fdr_05","tpr_05","fdr_10","tpr_10","pauc10","fpr05","ks_null","shadow","est_bias","est_rmse","ci_cover","runtime_s","n_pos","n_tested","n_rej_05","tp_05","fp_05","fdr_05_se","tpr_05_se","fdr_10_se","tpr_10_se","pauc10_se","fpr05_se","ks_null_se","shadow_se","est_bias_se","est_rmse_se","ci_cover_se","runtime_s_se","n_pos_se","n_tested_se","n_rej_05_se","tp_05_se","fp_05_se","n_cells"
"cluster","adapt","single",0.052,NA,0.088,NA,NA,0.0474515145932513,0.0778586280207953,NA,NA,NA,NA,0.837729999999999,0,786.368,0.084,NA,0.084,0.00993929470125102,NA,0.0126820214214718,NA,NA,0.00119153512356541,0.00210411131099505,NA,NA,NA,NA,0.0379607066411748,0,42.4054153103975,0.019251733909366,NA,0.019251733909366,500
"cluster","aldex2","single",0.008,NA,0.016,NA,NA,0.00631452660970523,0.277914539551041,NA,NA,NA,NA,50.0228,0,786.368,0.012,NA,0.012,0.00398795782515694,NA,0.00561703678147195,NA,NA,0.000470441806926353,0.00284754156078884,NA,NA,NA,NA,3.04911346206485,0,42.4054153103975,0.00691430511551674,NA,0.00691430511551674,500
"cluster","ancombc2","single",0.048,NA,0.048,NA,NA,0.429282574213281,0.426522777248859,NA,NA,NA,NA,164.711894,0,786.368,0.24,NA,0.24,0.00956949059775917,NA,0.00956949059775917,NA,NA,0.00503167996824925,0.00370504372016788,NA,NA,NA,NA,11.2610052129049,0,42.4054153103975,0.108611200092675,NA,0.108611200092675,500
"cluster","corncob","single",0.912,NA,0.952,NA,NA,0.139677131882487,0.130890623166244,NA,NA,NA,NA,50.740042,0,740.716,18.496,NA,18.496,0.0126820214214718,NA,0.00956949059775917,NA,NA,0.00244831510918051,0.00282834949692174,NA,NA,NA,NA,2.72848238470689,0,39.1037718978781,0.997296931881715,NA,0.997296931881715,500
"cluster","fastancom","single",0.01,NA,0.032,NA,NA,0.0316505417090212,0.13013133949022,NA,NA,NA,NA,0.157912000000005,0,786.368,0.016,NA,0.016,0.00445417549707209,NA,0.00787884206623088,NA,NA,0.00168562440286672,0.00388657985057637,NA,NA,NA,NA,0.0141303885393351,0,42.4054153103975,0.00797591565031388,NA,0.00797591565031388,500
"cluster","ldm","single",0.024,NA,0.084,NA,NA,0.0485217760159571,0.0796458244095074,NA,NA,NA,NA,17.557734,0,786.368,0.036,NA,0.036,0.00685141472745119,NA,0.0124175840156437,NA,NA,0.00131638685388967,0.00227282094469153,NA,NA,NA,NA,0.870465962831048,0,42.4054153103975,0.0122354981439114,NA,0.0122354981439114,500
"cluster","limma_logtss","single",0.05,NA,0.074,NA,NA,0.0512046455334515,0.124513804685663,NA,NA,NA,NA,0.046394,0,786.368,0.554,NA,0.554,0.009756555783755,NA,0.0117184745291604,NA,NA,0.00266265189510551,0.00351449091073841,NA,NA,NA,NA,0.000627465500173368,0,42.4054153103975,0.252121594864848,NA,0.252121594864848,500
"cluster","linda","single",0.122,NA,0.178,NA,NA,0.0532238124282757,0.0772127462425395,NA,NA,NA,NA,0.892114,0,786.368,1.442,NA,1.442,0.0146513249450447,NA,0.0171236221890623,NA,NA,0.00144490350113998,0.00213194009655319,NA,NA,NA,NA,0.0676345355480882,0,42.4054153103975,0.555249381585881,NA,0.555249381585881,500
"cluster","lm_logtss","single",0.056,NA,0.082,NA,NA,0.0517458892511563,0.123176605182877,NA,NA,NA,NA,0.04024,0,786.368,0.574,NA,0.574,0.0102927100298959,NA,0.0122822517241274,NA,NA,0.00265659605111256,0.0034265218866112,NA,NA,NA,NA,0.000377626805203253,0,42.4054153103975,0.254011992205818,NA,0.254011992205818,500
"cluster","locom","single",0.096,NA,0.134,NA,NA,0.0493507655368105,0.0737711737671076,NA,NA,NA,NA,827.059752,0,448.792,0.476,NA,0.476,0.0131877151797924,NA,0.0152496920038545,NA,NA,0.00117013088440005,0.00190491365630315,NA,NA,NA,NA,50.2343490530041,0,20.3818126290104,0.0931030846359962,NA,0.0931030846359962,500
"cluster","locom2","single",0.08,NA,0.128,NA,NA,0.0418298614048416,0.0808584828263163,NA,NA,NA,NA,105.789828,0,467.638,0.106,NA,0.106,0.0121447515404787,NA,0.0149559138375906,NA,NA,0.00104147319062039,0.00209383692120417,NA,NA,NA,NA,9.89070017622234,0,28.7186341912637,0.0176110276983822,NA,0.0176110276983822,500
"cluster","logistic_presence","single",0.058,NA,0.1,NA,NA,0.0530718449922826,0.0964973876999188,NA,NA,NA,NA,1.074942,0,787.004,0.118,NA,0.118,0.0104637938609248,NA,0.0134298444310754,NA,NA,0.00133295163633186,0.00375453719480665,NA,NA,NA,NA,0.0600337289070483,0,42.3573751598096,0.0371336750085321,NA,0.0371336750085321,500
"cluster","maaslin3","abundance",0.578,NA,0.696,NA,NA,0.0480757509715751,0.0602882434835574,NA,NA,NA,NA,21.99746,0,726.562,6.678,NA,6.678,0.0221090393106186,NA,0.0205916495712249,NA,NA,0.000779745844081414,0.00155303357251964,NA,NA,NA,NA,1.06516453567367,0,39.3571504926589,0.611378933559868,NA,0.611378933559868,500
"cluster","maaslin3","combined",0.64,NA,0.746,NA,NA,0.0517857295663051,0.0940768137098241,NA,NA,NA,NA,21.99746,0,786.368,10.492,NA,10.492,0.0214877510897206,NA,0.0194865968016434,NA,NA,0.00109914151004694,0.0021053364309197,NA,NA,NA,NA,1.06516453567367,0,42.4054153103975,0.83441738761456,NA,0.83441738761456,500
"cluster","maaslin3","presence",0.508,NA,0.648,NA,NA,0.0397875653883021,0.0818010827788902,NA,NA,NA,NA,21.99746,0,785.528,2.874,NA,2.874,0.022380208834928,NA,0.0213800423859461,NA,NA,0.00122743074540003,0.0021631290159139,NA,NA,NA,NA,1.06516453567367,0,42.4154556758782,0.235684837622981,NA,0.235684837622981,500
"cluster","pursue","abundance",0.104417670682731,NA,0.172690763052209,NA,NA,0.0496628808637646,0.0643741269347667,NA,NA,NA,NA,45.1391726907631,0,701.066265060241,0.291164658634538,NA,0.291164658634538,0.013717076605731,NA,0.0169547072936631,NA,NA,0.00100868612319806,0.00168241668355747,NA,NA,NA,NA,2.74093667926217,0,40.1259334902596,0.0621746621023452,NA,0.0621746621023452,498
"cluster","pursue","combined",0.0783132530120482,NA,0.118473895582329,NA,NA,0.0324232848551132,0.183072602351211,NA,NA,NA,NA,45.1391726907631,0,789.526104417671,0.182730923694779,NA,0.182730923694779,0.0120512226196853,NA,0.0144960850642126,NA,NA,0.000928076968889187,0.00343339379145383,NA,NA,NA,NA,2.74093667926217,0,42.5169313878845,0.0400182724512668,NA,0.0400182724512668,498
"cluster","pursue","presence",0.0240963855421687,NA,0.0441767068273092,NA,NA,0.018442317945086,0.350529572098438,NA,NA,NA,NA,45.1391726907631,0,787.437751004016,0.0240963855421687,NA,0.0240963855421687,0.00687861845453007,NA,0.00921737548696005,NA,NA,0.000845581302123254,0.0056743502546621,NA,NA,NA,NA,2.74093667926217,0,42.5260454373261,0.00687861845453007,NA,0.00687861845453007,498
"cluster","pursue","single",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.022,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0010000000000001,0,0,0,NA,0,2
"cluster","wilcoxon_tss","single",0.064,NA,0.108,NA,NA,0.0475715107864247,0.0872156272342721,NA,NA,NA,NA,0.526012,0,786.368,0.24,NA,0.24,0.010956646210971,NA,0.0138945354809891,NA,NA,0.00134324961358626,0.00251673231278689,NA,NA,NA,NA,0.0273868394244264,0,42.4054153103975,0.108426531002566,NA,0.108426531002566,500
"cluster","zicoseq","single",0.06,NA,0.136,NA,NA,0.0550455811658714,0.0850751871554974,NA,NA,NA,NA,239.48152,0,786.368,0.732,NA,0.732,0.0106313711300193,NA,0.0153453236497583,NA,NA,0.00169111681450601,0.00239094580567691,NA,NA,NA,NA,13.9117737330473,0,42.4054153103975,0.370971146024006,NA,0.370971146024006,500
"depth_quintile","adapt","single",0.04,NA,0.084,NA,NA,0.0463582737537605,0.0748572789650904,NA,NA,NA,NA,0.825978000000005,0,789.262,0.126,NA,0.126,0.00877233764829143,NA,0.0124175840156437,NA,NA,0.00117427228111805,0.00213785519479187,NA,NA,NA,NA,0.0366826311199705,0,42.3425733481976,0.071990368984003,NA,0.071990368984003,500
