"pi1","balance","comm","bloom","effect","rep","method","n_eval","shift","bias_null","rmse_all","type1","power","fdr","tpr","ci_cov","ref_purity"
0.05,"balanced","dominant",FALSE,"fixed",1,"enull",300,0.200898813167428,0.00152062394691641,0.189086974673162,0.0421052631578947,1,0,0.866666666666667,0.956666666666667,NA
0.05,"balanced","dominant",FALSE,"fixed",1,"dacomp",240,0.200898813167428,0.0585801015946271,0.205103360456182,0.0663716814159292,0.928571428571429,0.133333333333333,0.928571428571429,0.933333333333333,0.983333333333333
0.05,"balanced","dominant",FALSE,"fixed",1,"adapt",150,0.200898813167428,0.0207530162127609,0.25921174697042,0.0962962962962963,0.933333333333333,0.125,0.933333333333333,0.906666666666667,1
0.05,"balanced","dominant",FALSE,"fixed",1,"oracle",300,0.200898813167428,0.0119683772349892,0.189598146710135,0.0385964912280702,0.933333333333333,0,0.866666666666667,0.96,NA
0.2,"balanced","dominant",FALSE,"fixed",1,"none",300,0.255713855031507,-0.235592452119219,0.306092519955637,0.208333333333333,0.966666666666667,0.272727272727273,0.933333333333333,0.776666666666667,NA
0.2,"balanced","dominant",FALSE,"fixed",1,"clr",300,0.255713855031507,-0.0645157650758194,0.220132324899509,0.0541666666666667,0.966666666666667,0.1,0.9,0.916666666666667,NA
0.2,"balanced","dominant",FALSE,"fixed",1,"median",300,0.255713855031507,-0.00303831448559449,0.215638173819748,0.0375,0.933333333333333,0.0689655172413793,0.9,0.933333333333333,NA
0.2,"balanced","dominant",FALSE,"fixed",1,"mode",300,0.255713855031507,0.00683869382084623,0.216540873215836,0.0375,0.933333333333333,0.0517241379310345,0.916666666666667,0.936666666666667,NA
0.2,"balanced","dominant",FALSE,"fixed",1,"huber",300,0.255713855031507,-0.0208497665413759,0.21514987031631,0.0333333333333333,0.933333333333333,0.0677966101694915,0.916666666666667,0.936666666666667,NA
0.2,"balanced","dominant",FALSE,"fixed",1,"enull",300,0.255713855031507,0.00633343902231293,0.21648385114024,0.0375,0.933333333333333,0.0526315789473684,0.9,0.936666666666667,NA
0.2,"balanced","dominant",FALSE,"fixed",1,"dacomp",240,0.255713855031507,-0.0429475475137376,0.225308445007374,0.043010752688172,0.944444444444444,0.0943396226415094,0.888888888888889,0.925,0.9
0.2,"balanced","dominant",FALSE,"fixed",1,"adapt",150,0.255713855031507,-0.0649262354266878,0.289979418343201,0.111111111111111,0.95,0.0983606557377049,0.916666666666667,0.866666666666667,1
0.2,"balanced","dominant",FALSE,"fixed",1,"oracle",300,0.255713855031507,0.0201214029122885,0.218454163747196,0.0375,0.933333333333333,0.0517241379310345,0.916666666666667,0.94,NA
0.4,"balanced","dominant",FALSE,"fixed",1,"none",300,0.260352439675247,-0.232652905731982,0.309029206518518,0.255555555555556,0.966666666666667,0.216783216783217,0.933333333333333,0.753333333333333,NA
0.4,"balanced","dominant",FALSE,"fixed",1,"clr",300,0.260352439675247,-0.03899582797021,0.218329130519974,0.0722222222222222,0.975,0.0731707317073171,0.95,0.916666666666667,NA
0.4,"balanced","dominant",FALSE,"fixed",1,"median",300,0.260352439675247,-0.0186764650129577,0.216787422114098,0.0777777777777778,0.975,0.05,0.95,0.916666666666667,NA
0.4,"balanced","dominant",FALSE,"fixed",1,"mode",300,0.260352439675247,-0.0201691117675457,0.21683625837432,0.0777777777777778,0.975,0.0578512396694215,0.95,0.916666666666667,NA
0.4,"balanced","dominant",FALSE,"fixed",1,"huber",300,0.260352439675247,-0.0175092938220172,0.216756388361233,0.0722222222222222,0.975,0.05,0.95,0.923333333333333,NA
0.4,"balanced","dominant",FALSE,"fixed",1,"enull",300,0.260352439675247,0.00375144188635219,0.217290321739022,0.0888888888888889,0.958333333333333,0.0495867768595041,0.958333333333333,0.913333333333333,NA
0.4,"balanced","dominant",FALSE,"fixed",1,"dacomp",240,0.260352439675247,0.0229927118970694,0.230411314998226,0.083969465648855,0.954128440366973,0.0458715596330275,0.954128440366973,0.9125,0.816666666666667
