"method","m","n","seconds","usable"
"lm_logtss",90,60,0.00199999999995271,TRUE
"limma_logtss",90,60,0.0080000000000382,TRUE
"logistic_presence",90,60,0.0809999999999036,TRUE
"pursue",90,60,2.72900000000004,TRUE
"linda",90,60,0.0550000000000637,TRUE
"ancombc2",90,60,18.634,TRUE
"maaslin3",90,60,2.25800000000004,TRUE
"aldex2",90,60,1.69900000000007,TRUE
"corncob",90,60,1.87099999999987,TRUE
"ldm",90,60,1.47699999999986,TRUE
"locom",90,60,8.01800000000003,TRUE
"locom2",90,60,3.827,TRUE
"zicoseq",90,60,9.37699999999995,TRUE
"fastancom",90,60,0.00700000000006185,TRUE
"adapt",90,60,0.126000000000204,TRUE
"fastemu",90,60,160.884,TRUE
