"axis","simulator","template","regime_id","replicate","method","method_version","runtime_s","arm","truth_scale","n_tested","n_pos","fdr_05","tpr_05","n_rej_05","fdr_10","tpr_10","n_rej_10","pauc10","fpr05","fpr01","ks_null","shadow","est_bias","est_rmse","ci_cover"
"A","house","hmp_gingiva","R00",1,"maaslin3","1.2.0",9.45399999999998,"combined","abs",226,25,0,0.04,1,0,0.04,1,0.425870646766169,0.0497512437810945,0.00497512437810945,0.0855498768179,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",1,"maaslin3","1.2.0",9.45399999999998,"combined","rel",226,173,0,0.00578034682080925,1,0,0.00578034682080925,1,0.23121387283237,0,0,0.152077182922261,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",1,"aldex2","1.42.0",11.446,"single","abs",226,25,0,0,0,0,0,0,0.382089552238806,0,0,0.259438967061808,NA,-0.015890793852106,0.724053170747328,NA
"A","house","hmp_gingiva","R00",1,"aldex2","1.42.0",11.446,"single","rel",226,173,0,0,0,0,0,0,0.138510197404297,0,0,0.347080240084286,NA,0.0391137885187652,1.6833584421077,NA
"A","house","hmp_gingiva","R00",1,"corncob","0.4.2",12.061,"single","abs",226,25,0,0.04,1,0.625,0.12,8,0.149253731343284,0.129353233830846,0.054726368159204,0.124452921026409,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",1,"corncob","0.4.2",12.061,"single","rel",226,173,0,0.00578034682080925,1,0,0.046242774566474,8,0.458065219762242,0,0,0.373965984263206,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",1,"ldm","6.0.1",2.81200000000001,"single","abs",226,25,0,0.28,7,0,0.28,7,0.451741293532338,0.054726368159204,0.00995024875621891,0.054592039800995,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",1,"ldm","6.0.1",2.81200000000001,"single","rel",226,173,0,0.0404624277456647,7,0,0.0404624277456647,7,0.321736285309194,0,0,0.321981132075472,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",1,"locom","2.0",62.432,"single","abs",128,14,0,0.142857142857143,2,0,0.142857142857143,2,0.401002506265664,0.0526315789473684,0.0087719298245614,0.0607048594938675,NA,-0.0746609788027043,0.724238395527664,NA
"A","house","hmp_gingiva","R00",1,"locom","2.0",62.432,"single","rel",128,98,0,0.0204081632653061,2,0,0.0204081632653061,2,0.45578231292517,0,0,0.31616419179041,NA,-0.02995938759864,0.40221103160052,NA
"A","house","hmp_gingiva","R00",1,"locom2","1.0",14.258,"single","abs",226,25,0,0.16,4,0,0.2,5,0.405970149253731,0.0447761194029851,0.00995024875621891,0.097584150429903,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",1,"locom2","1.0",14.258,"single","rel",226,173,0,0.023121387283237,4,0,0.0289017341040462,5,0.383902279419784,0,0,0.338797378823467,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",1,"zicoseq","1.9",31.798,"single","abs",226,25,0,0,0,0,0.12,3,0.475621890547264,0.0597014925373134,0.00497512437810945,0.0293383084577115,NA,NA,NA,NA
