"regime_id","method","arm","fdr_05","tpr_05","fdr_10","tpr_10","pauc10","fpr05","ks_null","shadow","est_bias","est_rmse","ci_cover","runtime_s","n_pos","n_tested","n_rej_05","tp_05","fp_05","fdr_05_se","tpr_05_se","fdr_10_se","tpr_10_se","pauc10_se","fpr05_se","ks_null_se","shadow_se","est_bias_se","est_rmse_se","ci_cover_se","runtime_s_se","n_pos_se","n_tested_se","n_rej_05_se","tp_05_se","fp_05_se","n_cells"
"cluster","maaslin3","presence",0.508,NA,0.648,NA,NA,0.0397875653883021,0.0818010827788902,NA,NA,NA,NA,21.99746,0,785.528,2.874,NA,2.874,0.0129125968252393,NA,0.0123355358063234,NA,NA,0.000708182658838963,0.00124804634692637,NA,NA,NA,NA,0.614562638943384,0,24.4722326918888,0.135981898493189,NA,0.135981898493189,1500
"cluster","pursue","abundance",0.104417670682731,NA,0.172690763052209,NA,NA,0.0496628808637646,0.0643741269347667,NA,NA,NA,NA,45.1391726907631,0,701.066265060241,0.291164658634538,NA,0.291164658634538,0.00791425163378843,NA,0.00978224615609536,NA,NA,0.000581975010270384,0.000970692908501696,NA,NA,NA,NA,1.58142024102265,0,23.1511964108951,0.0358725066037864,NA,0.0358725066037864,1494
"cluster","pursue","combined",0.0783132530120482,NA,0.118473895582329,NA,NA,0.0324232848551132,0.183072602351211,NA,NA,NA,NA,45.1391726907631,0,789.526104417671,0.182730923694779,NA,0.182730923694779,0.00695311479613257,NA,0.0083637110297283,NA,NA,0.00053546647572442,0.00198094267492096,NA,NA,NA,NA,1.58142024102265,0,24.5307147704964,0.0230890799280442,NA,0.0230890799280442,1494
"cluster","pursue","presence",0.0240963855421687,NA,0.0441767068273092,NA,NA,0.018442317945086,0.350529572098438,NA,NA,NA,NA,45.1391726907631,0,787.437751004016,0.0240963855421687,NA,0.0240963855421687,0.00396871133016981,NA,0.00531808862075153,NA,NA,0.000487869492471445,0.00327389261315962,NA,NA,NA,NA,1.58142024102265,0,24.5359732437671,0.00396871133016981,NA,0.00396871133016981,1494
"cluster","pursue","single",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.022,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000447213595500003,0,0,0,NA,0,6
"cluster","pursue03_erdc","single",0.186,NA,0.222,NA,NA,0.0633069414123729,0.0924857586314946,NA,NA,NA,NA,0.301468,0,786.012,41.826,NA,41.826,0.0100500415699159,NA,0.010734095857403,NA,NA,0.00161855817961784,0.0019109777395007,NA,NA,NA,NA,0.00542572879952583,0,24.4685999632203,4.51099847271243,NA,4.51099847271243,1500
"cluster","pursue03_erdl","single",0.194,NA,0.23,NA,NA,0.0611528294428219,0.0918528688447559,NA,NA,NA,NA,2.122558,0,786.144,42.434,NA,42.434,0.0102133348196737,NA,0.0108694724014948,NA,NA,0.00154036947755827,0.0018032516389783,NA,NA,NA,NA,0.0321771851045349,0,24.4517154360966,4.53650331616305,NA,4.53650331616305,1500
"cluster","pursue03_erdlu_r05","single",0.172,NA,0.22,NA,NA,0.058736918840144,0.0908590850088257,NA,NA,NA,NA,26.48543,0,786.086,37.326,NA,37.326,0.00974717078056416,NA,0.0106993606138418,NA,NA,0.00142657732263038,0.00181396225015606,NA,NA,NA,NA,0.477489646136449,0,24.4667092797128,4.30201681948635,NA,4.30201681948635,1500
"cluster","pursue03_erdu_r05","single",0.182,NA,0.222,NA,NA,0.0586948679120704,0.0886475486058754,NA,NA,NA,NA,0.04261,0,786.106,35.04,NA,35.04,0.00996578536386433,NA,0.010734095857403,NA,NA,0.00142436851403172,0.00185937371391225,NA,NA,NA,NA,0.000144107985231928,0,24.4679845380496,4.19402115822637,NA,4.19402115822637,1500
"cluster","pursue03_erlc","single",0.166,NA,0.202,NA,NA,0.0604786155894321,0.0871161270791606,NA,NA,NA,NA,0.061674,0,786.354,41.836,NA,41.836,0.00961028468436166,NA,0.0103699416806608,NA,NA,0.00150104910077738,0.00171398290738034,NA,NA,NA,NA,0.000206782467001208,0,24.4664773816402,4.53365306083854,NA,4.53365306083854,1500
