"simulator","regime_id","method","arm","fdr_05","tpr_05","fdr_10","tpr_10","pauc10","fpr05","ks_null","shadow","est_bias","est_rmse","ci_cover","runtime_s","n_pos","n_tested","n_rej_05","tp_05","fp_05","fdr_05_se","tpr_05_se","fdr_10_se","tpr_10_se","pauc10_se","fpr05_se","ks_null_se","shadow_se","est_bias_se","est_rmse_se","ci_cover_se","runtime_s_se","n_pos_se","n_tested_se","n_rej_05_se","tp_05_se","fp_05_se","n_cells"
"house","R00","adapt","single",0.051202198515279,0.199170933697573,0.107941834965038,0.264363651353698,0.487248657878614,0.0488740846257459,0.0622919381990679,NA,0.00161709347504296,1.65534823204358,NA,0.426609999999998,26.97,237.5,5.98,5.62,0.36,0.00609854877603464,0.00688737861898584,0.00674775080722094,0.00704899680349204,0.00615408035887685,0.00100814427158005,0.0013586636009437,NA,0.0131286639322186,0.027669433454533,NA,0.00620767620069767,0.471066178452248,4.89473473169338,0.24847090904599,0.23143871672359,0.0370482826975302,300
"house","R00","aldex2","single",0,0.0239961955663989,0.0025,0.033281793847739,0.393203573765496,0.00555466814030523,0.257521725738684,NA,-0.0121223596599933,0.788018518941507,NA,11.25834,26.97,237.5,0.69,0.69,0,0,0.00181642962497585,0.00143854022999395,0.00201401192327155,0.00573156853200031,0.000295000943963909,0.00225837854240727,NA,0.00186175955009687,0.00621628763255737,NA,0.238772606062798,0.471066178452248,4.89473473169338,0.053440180040952,0.053440180040952,0,300
"house","R00","ancombc2","single",0,0.0284671533673023,0,0.0284671533673023,0.141865171062172,0.449904187023371,0.440911779911753,NA,-0.0259726219569259,0.806928657645522,0.517036648533396,68.28609,26.97,237.5,0.82,0.82,0,0,0.00227173536573114,0,0.00227173536573114,0.00396248568182344,0.00245527831734609,0.00229969286001603,NA,0.0101403178033754,0.006038327496133,0.00241713125407187,1.60908400844303,0.471066178452248,4.89473473169338,0.0690983497617659,0.0690983497617658,0,300
"house","R00","corncob","single",0.351200577200577,0.0689527338697173,0.42617173418257,0.0974825687243734,0.218149196168601,0.0822245141532273,0.0940617128490042,NA,NA,NA,NA,10.41217,26.77,237.24,3.31,1.67,1.64,0.0206566109423834,0.00484166777652861,0.0194320758996124,0.00591391451437962,0.00520435108188309,0.00175010105277482,0.0026906216819589,NA,NA,NA,NA,0.23130939682714,0.474701455203064,4.89863894823353,0.204742272121101,0.105073632408063,0.126311183393107,300
"house","R00","fastancom","single",0.0136071428571429,0.0605213349743147,0.0338036032594856,0.0955125152104281,0.392188622085836,0.0399133574744238,0.106000946781454,NA,-0.11085915627966,0.483449916243062,NA,0.0345999999999975,26.97,237.5,1.99,1.91,0.08,0.00379773836670348,0.00352446068700794,0.00538551701237426,0.00523109125184768,0.00693833480557083,0.00181957286695921,0.00333217620258069,NA,0.00897134783958965,0.00563404169227887,NA,0.000338894523897654,0.471066178452248,4.89473473169338,0.134759788768372,0.124060347813738,0.0226652239031945,300
"house","R00","fastemu","single",0.142,0.0173375733585411,0.192,0.0250293296309425,0.322538203073116,0.045776856719014,0.1152259292689,NA,-0.0311491526893148,1.54023292484296,0.842952815760685,726.35428,27.16,232.92,0.96,0.56,0.4,0.0313946113468796,0.00339394902629295,0.0374411249542243,0.00433487751640574,0.0119717682884962,0.00239556398175194,0.00499957582228536,NA,0.00959266498988132,0.0315522378666191,0.00516410132048557,30.6206084742184,0.90504890117248,9.95274890725225,0.181525070861717,0.114277992017096,0.0986393923832144,75
"house","R00","ldm","single",0.0336673881673882,0.143136908363264,0.104984524462466,0.207541120639921,0.428638974928644,0.0484898230111861,0.0637136039253325,NA,NA,NA,NA,13.53952,26.97,237.5,4.36,4.1,0.26,0.00440132597743811,0.0061163240038266,0.0087567923054242,0.00672511374023818,0.00634759273730778,0.000914150377979676,0.00151154852823831,NA,NA,NA,NA,1.06195121518998,0.471066178452248,4.89473473169338,0.209078244622873,0.190843927548859,0.034330676045277,300
"house","R00","limma_logtss","single",0.0431042568542569,0.130109276978417,0.0706116745147436,0.183254876352405,0.446878003160124,0.0482792477113529,0.0827884116635582,NA,-0.00104104020091241,0.470556006703906,0.926738332994182,0.0452999999999999,26.97,237.5,3.97,3.69,0.28,0.00762744171082492,0.00621002664629977,0.00806524971328072,0.00742351266609707,0.00654837658926936,0.00185626857318019,0.00284877300385424,NA,0.00868217168457081,0.00516509850346681,0.00188902306650323,0.000382868944630595,0.471066178452248,4.89473473169338,0.215216310257073,0.193488481936627,0.0433389071108769,300
"house","R00","linda","single",0.0453784687534688,0.1886367332161,0.0855423901863531,0.255262394312411,0.475148980149709,0.0540838120832116,0.0614322481500633,NA,-0.0117973686330015,0.440610451475144,0.910031079070388,0.21853,26.97,237.5,5.59,5.3,0.29,0.0069137657189866,0.00688232558739691,0.00598936435940304,0.00717799686402925,0.00635021482734349,0.00115107599209261,0.00159491613319263,NA,0.00388714425584325,0.00473027827469058,0.0014590194883264,0.012519190499758,0.471066178452248,4.89473473169338,0.233354912204923,0.218921039200627,0.0298210941929178,300
"house","R00","lm_logtss","single",0.0398253968253968,0.135029958360781,0.0856643911643912,0.193470910172891,0.450667420471647,0.0495971403544684,0.0830178504210459,NA,-0.00104104020091241,0.470556006703906,0.925219254049027,0.0448600000000001,26.97,237.5,4.13,3.86,0.27,0.00747864703745984,0.00628308786175828,0.00857047843882688,0.00767979907369979,0.00638534122463993,0.00195787143329466,0.00297471990087017,NA,0.00868217168457081,0.00516509850346681,0.0019756876316198,0.00045012224277947,0.471066178452248,4.89473473169338,0.218332844000235,0.197648382090883,0.0423830280918449,300
"house","R00","locom","single",0.0429329004329004,0.0951034844265643,0.0641358641358641,0.137476924402955,0.347712764464771,0.0485806635167649,0.0718038455319651,NA,-0.0388786878539515,0.965241677437421,NA,132.56466,24.09,209.57,2.19,2.04,0.15,0.00776377273428617,0.00748591855702709,0.00657613948313873,0.00812167621514018,0.00755967520718882,0.00103421823091172,0.00189112125276361,NA,0.00399396921749114,0.00936316940575555,NA,3.70018713832288,0.538863848751833,5.37395711279567,0.130267283756864,0.120733543925301,0.022210606403007,300
"house","R00","locom2","single",0.0664404761904762,0.0768724459133195,0.135929653679654,0.1067328250709,0.329797982546845,0.0427557056767621,0.0769891446094195,NA,NA,NA,NA,26.33839,26.97,237.5,2.44,2.21,0.23,0.0114206126357822,0.00428546065664667,0.0136860788413874,0.00508097592509145,0.00591970148672581,0.000998969274143282,0.00151148298297457,NA,NA,NA,NA,0.673526982468689,0.471066178452248,4.89473473169338,0.141968954164241,0.127306808189394,0.0325658581501679,300
"house","R00","logistic_presence","single",0.0634481156098803,0.198137520074454,0.122085604496982,0.276634719558125,0.475853657278816,0.0560403400035485,0.116480814418129,NA,-0.00298068540323737,0.847802659329074,NA,0.33614,26.87,235.96,5.92,5.51,0.41,0.00630166819688427,0.00658937279245937,0.00751866635655554,0.00703068047431062,0.00582561407975552,0.00105422786752721,0.00145086993294636,NA,0.0051651367403479,0.0280005985958029,NA,0.00717287728612955,0.472851946396229,4.91505039662238,0.241467087850602,0.225393746890023,0.0366626125254412,300
"house","R00","maaslin3","abundance",0.03,0.00335144927536232,0.055,0.00713430938910478,0.156568798739636,0.0440103037157438,0.0656387955328932,0.0420547122296348,-0.0351978013723409,0.893356506700308,NA,9.77793,17.58,237.18,0.09,0.06,0.03,0.00986531371603149,0.000776409762950687,0.0128634453947902,0.00121189033599027,0.00549904674335091,0.000794901376658034,0.00171781335543847,0.00404506611023846,0.00966460574479338,0.00888136507178185,NA,0.226590376847591,0.337825032388604,4.90135726202788,0.0165503185310211,0.0137342186724184,0.00986531371603149,300
"house","R00","maaslin3","combined",0.0286111111111111,0.0437355905736741,0.0513644688644689,0.0788210876552516,0.393207798968277,0.0503096909284226,0.0807606930304409,NA,NA,NA,NA,9.77793,26.97,237.5,1.24,1.19,0.05,0.00866119263708484,0.00308518372050866,0.00933599064570457,0.00467720613621736,0.00603030405240665,0.00096638193201632,0.00155572522920732,NA,NA,NA,NA,0.226590376847591,0.471066178452248,4.89473473169338,0.0918483554634365,0.0887275337808739,0.0126040817299072,300
"house","R00","maaslin3","presence",0.00465909090909091,0.0768039294371741,0.0155229492729493,0.122500313797528,0.626609250151613,0.041749986859226,0.071124778307265,0.0593051449112055,NA,NA,NA,9.77793,19.05,236.83,1.54,1.51,0.03,0.00167829693499294,0.00530420008124483,0.00373881473734242,0.00768304863309455,0.0080771292302751,0.000951502867128733,0.00157037385344229,0.00510920381988406,NA,NA,NA,0.226590376847591,0.346253237310247,4.9051202174693,0.119200233440098,0.114352912637862,0.00986531371603149,300
"house","R00","pursue","abundance",0.015,0.00664699508886142,0.06,0.0107631885359372,0.152283056431081,0.0451120325760457,0.0659156764744039,0.0507256195387,-0.0155103060724572,0.87076791315703,0.953693298150178,10.22755,17.58,237.18,0.14,0.12,0.02,0.0064073014370861,0.00129273630820845,0.0125316396303357,0.00158775471230575,0.0051465928724604,0.000968086623307791,0.00171384408958046,0.00474491271412137,0.00381287808525197,0.00842401302214496,0.00090817233861304,0.209304455938997,0.337825032388604,4.90135726202788,0.0245630715018572,0.0220670913746948,0.00809640904752736,300
"house","R00","pursue","combined",0.0433888888888889,0.0541896538999482,0.0817852147852148,0.0867364439901562,0.308391397662542,0.0444743940857986,0.0929977320184175,NA,NA,NA,NA,10.22755,26.97,237.5,1.81,1.71,0.1,0.0103721868376938,0.00398167569185363,0.0115014959607277,0.00528628114427827,0.00781765408077538,0.000932797106040105,0.00304659979821672,NA,NA,NA,NA,0.209304455938997,0.471066178452248,4.89473473169338,0.137511325164493,0.132456846004696,0.0191805363999193,300
"house","R00","pursue","presence",0.0463308080808081,0.107144339837463,0.0711171214406509,0.146609352677312,0.436023226994237,0.0399595271515811,0.114712027799341,0.0558612543461028,NA,NA,NA,10.22755,19.02,235.96,2.59,2.43,0.16,0.00926555405297197,0.0072019891038391,0.00937382552900732,0.00873406337826415,0.0107933212450064,0.000941867701430728,0.00409983764523563,0.00750325707712275,NA,NA,NA,0.209304455938997,0.346697751800728,4.91505039662238,0.1895417815589,0.179604731373571,0.0227241712690743,300
"house","R00","pursue03_erdc","single",0.0244398087292824,0.16215845651181,0.0758705995586801,0.22480484814233,0.47972449290556,0.043998888434819,0.0614791462842558,NA,NA,NA,NA,0.16543,26.97,237.35,4.84,4.66,0.18,0.00411304893633077,0.00679034761968703,0.0062111350688228,0.00749790281818369,0.00594602575986431,0.000992090399880104,0.00170019014578687,NA,NA,NA,NA,0.00471205140337982,0.471066178452248,4.89152139986642,0.235867430596201,0.224907264426859,0.0287766162966557,300
"house","R00","pursue03_erdl","single",0.0133834498834499,0.133094977346896,0.0483132423132423,0.200986717169747,0.481036589963183,0.0396954166734269,0.0615480639166172,NA,-0.0228032603987929,0.306110755294422,NA,1.19021,26.97,237.5,3.92,3.83,0.09,0.00298139112488051,0.00579201021403683,0.00539104985095225,0.007257936591153,0.00627737333509702,0.000995294795959972,0.00139548294772709,NA,0.00174130833744293,0.00243251855404462,NA,0.0315384198413135,0.471066178452248,4.89473473169338,0.199779142268703,0.192511129852424,0.0184608416813883,300
"house","R00","pursue03_erdlu_r05","single",0.0244253246753247,0.153089845420695,0.0464826620747673,0.229926500047123,0.487385016104144,0.0429674850268205,0.0631288787640815,NA,-0.0232827649513892,0.327099960829368,NA,15.94828,26.97,237.42,4.54,4.4,0.14,0.00623817586309328,0.00620757345403585,0.00475354513281176,0.00737429555277911,0.0061614034243622,0.0010081982313805,0.00147149719975606,NA,0.0018027129513054,0.00305976837801753,NA,0.389792563483652,0.471066178452248,4.89285999490747,0.222094017272778,0.210747991020231,0.0231614949754615,300
"house","R00","pursue03_erdu_r05","single",0.0227791514041514,0.180892087060308,0.0773482777112808,0.246528787221541,0.486913102026863,0.0472769517705271,0.0651750169845997,NA,NA,NA,NA,0.0474300000000002,26.97,237.42,5.31,5.13,0.18,0.0032589202244158,0.006793511405378,0.00604612620665901,0.0072313985522761,0.00578682635385024,0.00109013526172672,0.00167244943643226,NA,NA,NA,NA,0.000223869138793958,0.471066178452248,4.89285999490747,0.237418530297085,0.227190930856725,0.0236756228441166,300
"house","R00","pursue03_erlc","single",0.0158730158730159,0.077156703301523,0.0373211788211788,0.133754448126676,0.45046402298397,0.0406996347759214,0.0600147760961364,NA,-0.0228032603987929,0.306110755294422,NA,0.0574200000000001,26.97,237.5,2.35,2.3,0.05,0.005962856419005,0.00444636794125438,0.00687654393734982,0.00608246523951978,0.00633260198619953,0.000926894302461043,0.00157870833242517,NA,0.00174130833744293,0.00243251855404462,NA,0.000162994552302432,0.471066178452248,4.89473473169338,0.147979705740472,0.14457873299156,0.0126040817299072,300
"house","R00","wilcoxon_tss","single",0.0361829004329004,0.184286853492657,0.0875913257279356,0.245658393678998,0.490369252706419,0.0488885221619135,0.0649318063049111,NA,-0.0161334397078502,1.70628424013834,NA,0.16518,26.97,237.5,5.43,5.18,0.25,0.00473686776788378,0.00661774391220365,0.00693538395936419,0.0071684819543434,0.00591601693436269,0.00102743451283364,0.00174561168560855,NA,0.0132797418279578,0.037720309187298,NA,0.00283205941588751,0.471066178452248,4.89473473169338,0.230928763140248,0.218902705896545,0.0287708045998789,300
"house","R00","zicoseq","single",0.0347055999556,0.141331421906718,0.091295557340836,0.210278203076921,0.460958568064198,0.0496190656055554,0.0641100309655561,NA,NA,NA,NA,59.02699,26.97,237.5,4.29,4.04,0.25,0.00478290402133871,0.00633868476648027,0.00804290929779662,0.00702293724864579,0.00566134355148264,0.00102351821199687,0.00167907416188251,NA,NA,NA,NA,1.30557858168048,0.471066178452248,4.89473473169338,0.222526538194142,0.205431269988196,0.0320691143258663,300
"house","R01","adapt","single",0.0433333333333333,0.0183566421022503,0.0955952380952381,0.0322048458601771,0.250395421074554,0.0562906771698158,0.0624404560161072,NA,0.0206587104504281,2.48210726279913,NA,0.42564,27.99,256.12,0.6,0.55,0.05,0.01145491866623,0.00164110303634944,0.0159862874253777,0.00227512561747743,0.00467434362982312,0.00102370232625418,0.001317206421026,NA,0.018431726479461,0.0396776542626889,NA,0.00582074205983149,0.457672971121284,4.69015392207004,0.0510753918455249,0.05,0.0126040817299072,300
"house","R01","aldex2","single",0,0.0028069170771757,0,0.00434210615280595,0.2105254527654,0.00559945561568557,0.266801262061556,NA,-0.00484664466428843,0.984857796540485,NA,5.41786,27.99,256.12,0.09,0.09,0,0,0.00063680451361142,0,0.000771043500105755,0.00453705332861829,0.00031317843803211,0.00212289980845131,NA,0.00192391715127192,0.00751496908974017,NA,0.105481296038904,0.457672971121284,4.69015392207004,0.0201913919206257,0.0201913919206257,0,300
"house","R01","ancombc2","single",0,0.00192347690623553,0,0.00192347690623553,0.0842926210924292,0.380338305584681,0.413182796440203,NA,-0.00646551799335589,1.30795537981674,0.483181433166554,68.81112,27.99,256.12,0.06,0.06,0,0,0.000501647651293787,0,0.000501647651293787,0.00279498395686052,0.00285066997949644,0.00224852840484418,NA,0.0112621069092763,0.0104929670688075,0.00277931082655222,1.6804389876426,0.457672971121284,4.69015392207004,0.0159849427477495,0.0159849427477495,0,300
"house","R01","corncob","single",0.454230158730159,0.0328215413144113,0.562027777777778,0.0490450510378216,0.123230381485426,0.0894751307627017,0.0874065715137857,NA,NA,NA,NA,7.68038,25.24,246.75,2.18,0.75,1.43,0.0241299683884529,0.00278413240930921,0.0217716199591556,0.00348290169320946,0.00378634489046846,0.00190641329216594,0.00248013211713772,NA,NA,NA,NA,0.149419757053722,0.437774853940327,4.6111641098708,0.145243423857719,0.0608606061251974,0.105771571880445,300
"house","R01","fastancom","single",0,0.0077047226856811,0.01,0.0104917803170592,0.225286854055977,0.0305448726732228,0.0917891556995794,NA,-0.0434154443027179,0.683750820498957,NA,0.0344499999999999,27.99,256.12,0.25,0.25,0,0,0.00100232856066888,0.00404820452376368,0.00121325005576977,0.00506016083070885,0.00113813757452619,0.00244349559329141,NA,0.0108006779573611,0.00686277872749473,NA,0.000296735302019941,0.457672971121284,4.69015392207004,0.0330955846866694,0.0330955846866694,0,300
"house","R01","ldm","single",0.025,0.00952886351433709,0.025,0.0166416899611185,0.223853624742299,0.0385149510607768,0.0630922626355286,NA,NA,NA,NA,10.32518,27.99,256.12,0.34,0.31,0.03,0.00855339319317526,0.00113240458663683,0.00855339319317526,0.00160245821271276,0.00430191552385371,0.000862288708761142,0.00142458125357772,NA,NA,NA,NA,0.813162330705825,0.457672971121284,4.69015392207004,0.0385524010331141,0.0372059260932294,0.00986531371603149,300
